카테고리,기업명(중문),기업명(영문),primaryKeyword,helperKeywords,excludeWords,mustIncludeAny,businessContext,tier,status
portfolio_company,軒饌廚坊,Just Kitchen,軒饌廚坊,"Jason Chen Food & Beverage, 陳星豪, Just Kitchen, 軒饌廚坊股份有限公司","주방 인테리어, kitchen remodeling","Jason Chen, cloud kitchen, ghost kitchen, food delivery, 軒饌廚坊, 雲端廚房, 外送","Just Kitchen, a cloud-kitchen infrastructure builder for the food delivery market, caters to their customers by offering them what they want, when and wherever they want it.",C,Live
portfolio_company,,Klipy,Klipy,,"Klippy, clip art, 클립","AI sales agent, B2B sales, sales automation, CRM, 銷售代理, AI 業務","Klipy is an AI sales agent platform purpose-built for B2B technology and management consulting firms, focused on high-value, consultative selling.",B,Live
portfolio_company,耐能智慧,Kneron,耐能智慧,"Albert Liu IC Design, 劉峻誠, Kneron, 耐能智慧股份有限公司, Kneron(Taiwan) Co., Ltd.",,"Albert Liu, edge AI, NPU, AI chip, neural processing unit, AIoT, 耐能智慧, 邊緣運算, AI 晶片","Kneron is dedicated to developing integrated software and hardware edge AI solutions for AIoT, smart homes, surveillance, security, mobile devices, robotics, and industrial control.",B,Live
portfolio_company,露西德,LUCID,露西德,"Han Jin Software, LUCID, 美商露西德有限公司, Lucid VR, INC.","Lucid Motors, Lucid Air, Lucid Group, Lucidchart, 루시드모터스","Han Jin, depth sensing, 3D capture, LucidPix, computer vision, 露西德, 景深, 3D 成像",Lucid is a leading AI vision startup developing software solutions for 3D capture and depth sensing based on machine learning.,C,Live
portfolio_company,,Lydia AI,Lydia AI,Anthony Lee InsurTech,,"Anthony Lee, insurtech, health score, insurance AI, Knowtions, 保險科技, 健康評分","Lydia AI is an applied artificial intelligence company with a mission to make the world’s health data useful, helping insurers transform operations and launch Pay-How-You-Live insurance products.",A,Live
portfolio_company,,MEandMine,MEandMine,Elinor Huang AI,,"Elinor Huang, child mental health, social emotional learning, AI-flagging, 兒童心理, 心理健康","MEandMine revolutionizes classroom well-being by using AI-flagging to identify psychological risks in young children, combining the power of neuroscience and gamification.",A,Live
portfolio_company,醫流體,MedFluid,醫流體,"Bon Lee Medical Device, 李文斌, MedFluid, 醫流體股份有限公司",,"Bon Lee, antimicrobial susceptibility testing, lab-on-a-chip, microfluidics, NAST, 醫流體, 微流控, 藥敏",MedFluid can provide rapid antimicrobial susceptibility testing (AST) results in 6 hours directly from collected specimens through its patented LOC (Lab-on-a-chip) microfluidics.,A,Live
portfolio_company,宇見智能科技,MetAI,宇見智能科技,"Daniel Yu AI, MetAI, 宇見智能科技股份有限公司, MetAI Technology Co., Ltd.","MetLife, Meta AI, 메타 AI","Daniel Yu, digital twin, sim-to-real, synthetic data, NVIDIA, 宇見智能科技, 數位分身","MetAI uses AI and 3D tech to quickly build digital twins for industries like manufacturing, cutting development time to minutes.",B,Live
portfolio_company,行動貝果,MoBagel,行動貝果,"Adms Chung Big data, MoBagel, 行動貝果有限公司",,"Adms Chung, AutoML, Decanter AI, predictive analytics, 行動貝果, 自動化機器學習, 預測",MoBagel empowers enterprises to make the right business decisions by using its easy-to-use Automated Machine Learning software to produce fast and actionable predictions.,A,Live
portfolio_company,摩絡人工智慧,Morale AI,摩絡人工智慧,"Morale AI, 摩絡人工智慧股份有限公司, Morale AI CO., LTD.","employee morale, morale 사기진작","smart manufacturing, AI agent, tacit knowledge, predictive maintenance, 摩絡人工智慧, 智慧製造","Morale AI focuses on smart manufacturing, building scalable AI agent platforms that systematize and govern tacit knowledge across production lines, equipment, and people.",C,Live
portfolio_company,,Nex,Nex,David Lee Entertainment,"Nexon, NEX Group, Nexo, NEX Markets","David Lee, motion gaming, HomeCourt, Active Arcade, computer vision, 體感遊戲, 體感娛樂","Nex is helping humanity reconnect with the joy of movement through fun, social, and interactive motion entertainment that is accessible on any modern camera-equipped device.",C,Live
portfolio_company,,Nitra,Nitra,Jonathan Chen FinTech,"Nitra Slovakia, FC Nitra, 니트라","Jonathan Chen, healthcare fintech, doctor credit card, medical practice finance, 醫療金融",Every doctor is choosing Nitra!' 'The #1 finance partner for doctors and healthcare practices' 'More savings. Less paperwork. More patient time.,B,Live
portfolio_company,,NodeFlair,NodeFlair,Ethan Ang HR Tech,,"Ethan Ang, tech recruitment, salary data, tech talent, 技術人才, 招募",NodeFlair is the Glassdoor 2.0 for the Tech Community and is building B2B SaaS tools to help companies attract and hire tech talents.,A,Live
portfolio_company,大橡科技,OakMega,大橡科技,"Porsche Tsai MarTech, OakMega, 大橡科技股份有限公司, OAKMEGA TECH CO., LTD.",,"Porsche Tsai, conversational CRM, LINE CRM, omnichannel messaging, 大橡科技, 客戶關係管理","OakMega provides omnichannel instant messaging CRM solutions for businesses, conquering the last mile of communication with customers.",A,Live
portfolio_company,,OptoIntel,OptoIntel,"Lawrence Chen, MD AI",,"Lawrence Chen, Alzheimer screening, hyperspectral retinal imaging, beta-amyloid, 阿茲海默, 視網膜","OptoIntel enables early, non-invasive Alzheimer’s detection through AI-powered hyperspectral retinal imaging.",A,Live
portfolio_company,德炬識科,ParseMe,德炬識科,"Henry Hu Big data, ParseMe, 德炬識科有限公司, ParseMe, Ltd.",,"Henry Hu, Auriga Security, data collector, data compression, 德炬識科, 安創資訊, 資料收集","ParseMe offers data solutions that leverage AI and ML to assist customers, such as corporate executives and data scientists, gain access to critical data quickly and efficiently.",A,Live
portfolio_company,,PenguinSmart,PenguinSmart,Amy Kwok Healthcare,,"Amy Kwok, speech therapy, child rehab, developmental delay, 復健, 早期療育, 語言治療","PenguinSmart is enabling intelligent, individualized rehab therapy for all, empowering caregivers to become a key part of the rehab journey.",A,Live
portfolio_company,,Pickupp,Pickupp,Crystal Pang Smart Logistics,"pick up 픽업, 픽업트럭","Crystal Pang, last mile delivery, crowdsourced logistics, 智慧物流, 配送","Pickupp is a data driven, AI-enabled logistic platform dedicated to supporting merchants with flexible and cost-effective solutions by consolidating all types of assets in the supply chain.",A,Live
portfolio_company,百威雷科技,PowerArena,百威雷科技,"Ken Law Smart Manufacturing, PowerArena, 美商百威雷科技有限公司, PowerArena Corporation",,"Ken Law, computer vision manufacturing, production line analytics, SOP, 百威雷科技, 智慧製造",PowerArena focuses on monitoring and analyzing production sites in real time by making use of deep learning artificial intelligence technology.,A,Live
portfolio_company,,Preveta,Preveta,,"Preveza, 프레베자","cancer care, oncology, AI nurse, care gap, clinical workflow, 癌症照護, 腫瘤",The next breakthrough in cancer care is not another drug. It is making sure patients actually receive the care we already know they need.,B,Live
portfolio_company,瑞利光智能,RVI,瑞利光智能,"Jr-Hau He AI, RVI, 瑞利光智能股份有限公司, Rayleigh Vision Intelligence Co. Ltd.","RVI 보험, Residual Value Insurance, RVI Group","Jr-Hau He, MicroLED, mass transfer, co-packaged optics, CPO, 瑞利光智能, 巨量轉移",RVI develops next-generation light emitter arrays for Co-Package Optics modules using AI enhanced mass transfer technology,C,Live
portfolio_company,,Seasalt.ai,Seasalt.ai,Xuchen Yao AI,"Seasalt Cornwall, sea salt 소금, 천일염","Xuchen Yao, voice AI, speech recognition, contact center, Twilio, 語音辨識, 客服","With unique Voice AI technology, Seasalt.ai enables businesses to engage customers with contextual conversations, 24x7, text, or call.",A,Live
portfolio_company,智慧貼紙,Smart Tag,智慧貼紙,"Kim Chang Smart Manufacturing, 張焜傑, Smart Tag, 智慧貼紙股份有限公司","스마트태그 하이패스, SmartTag Samsung, 갤럭시 스마트태그, ETC 스마트태그","Kim Chang, wireless sensor, flexible sensor, factory monitoring, 智慧貼紙, 無線感測器","Smart Tag focuses on providing flexible wireless sensors which can stick on any surface and collect environment data easily, using data to conduct analyses and enhance production efficiency.",C,Live
portfolio_company,小飛船科技,Spaceship,小飛船科技,"Wun Chi Lam Smart Logistics, Spaceship, 香港商小飛船科技有限公司, Spaceship Taiwan Limited","SpaceX, Spaceship Australia, 우주선, 스페이스십","Wun Chi Lam, cross-border shipping, courier comparison, 小飛船科技, 國際快遞, 寄件",Spaceship is an all-in-one logistic solution platform allowing users to instantly compare and book shipping options across various service providers.,C,Live
portfolio_company,壹航人事顧問,Terminal 1,壹航人事顧問,"Edwin Shao HR Tech, Terminal 1, 香港商壹航人事顧問有限公司, Terminal 1 Limited","공항 터미널, Terminal 1 airport, 제1터미널, 인천공항","Edwin Shao, engineering recruitment, technical assessment, 壹航人事顧問, 工程師招聘",Terminal 1 is a tech-enabled recruitment firm helping enterprises and engineering candidates match at higher rates by increasing sourcing efficiencies and customized technical assessments.,C,Live
portfolio_company,稜研科技,TMY Technology,稜研科技,"Su-Wei Chang 5G, 張書維, 林決仁, TMY Technology, 稜研科技股份有限公司, TMY TECHNOLOGY INC.",,"Su-Wei Chang, mmWave, phased array, 5G, Antenna-in-Package, XBeam, 稜研科技, 毫米波",TMYTEK builds mmWave phased arrays for 5G and satellite markets with advanced Antenna-in-Package (AiP) technology.,A,Live
portfolio_company,,Tresl Segments,Tresl Segments,John Chao MarTech,,"John Chao, Shopify analytics, customer segmentation, ecommerce intelligence, 電商分析","Tresl offers Segments Analytics, an ecommerce intelligence platform that gives brands access to the same analytics powers enjoyed by large enterprises, at a fraction of the cost.",A,Live
portfolio_company,威凜科技,Valtec,威凜科技,"John Keh AI, Valtec, 威凜科技股份有限公司","Valtec 배관, Valtec Italy, 발텍 밸브","John Keh, smart fishery, tuna fishing, multi-drone, 威凜科技, 智能捕魚, 漁業","Valtec specializes in AI-powered smart fishery solutions. Valtec addresses time, labor, and safety issues in traditional fisheries through multi-drone technology.",B,Live
portfolio_company,,Vectara,Vectara,Dr. Amr Awadallah AI,"Vectra AI, Vectra Networks","Amr Awadallah, RAG, retrieval augmented generation, hallucination detection, enterprise AI","Vectara pioneered Retrieval Augmented Generation (RAG). We developed industry-leading models for retrieval, generation, and hallucination detection, and continue to innovate, pushing generative AI technology to new heights of precision and reliability.",A,Live
portfolio_company,元盛生醫電子,Vescir,元盛生醫電子,"Paul Chen Beauty & Wellness, Vescir, 元盛生醫電子股份有限公司, VesCir Ltd.",,"Paul Chen, skin analyzer, skincare AI, ICI, 元盛生醫電子, 肌膚測量, 保養品",VesCir offers unique and high quality skincare products that leverage a mobile skin analyzer that provides customized skincare recommendations powered by AI.,B,Live
portfolio_company,怡恆,VIASWEAT,怡恆,"Melody Hsu Fashion & Apparel, VIASWEAT, 怡恆股份有限公司, VIASWEAT CO., LTD.",,"Melody Hsu, activewear, sports bra, leggings, 怡恆, 機能服飾, 運動服",VIASWEAT is an activewear brand for Asians and Asian-Americans. Their vision is to empower women to feel confident because they believe empowered women change the world.,A,Live
portfolio_company,,Wondera,Wondera,Bill Dafflon AI,,"Bill Dafflon, AI music, voice cloning, music creation platform, AI 音樂, 音樂創作",Wondera.ai is and AI-powered platform that enables users to create and perform music by training their own AI voices and avatars.,A,Live
